[INFO] [1789728622.748404, 9.710000]: MetricsLogger: robot=tracked run=5
[INFO] [1789728622.755733, 9.711000]:   output    : /home/alessandro/metrics_VF/fixed_trajectory/swept_lidar/tracked/run05
[INFO] [1789728622.759176, 9.712000]:   odom      : /rtabmap/odom
[INFO] [1789728622.762598, 9.712500]:   cmd_vel   : /example_two_track/cmd_vel
[INFO] [1789728622.765743, 9.712500]:   gt model  : two_track_robot (via /gazebo/model_states, unfiltered)
[INFO] [1789728622.767545, 9.713000]:   metrics   : 50.0 Hz
[INFO] [1789728622.770594, 9.713500]:   gt hi-rate: 1000.0 Hz (asked 800.0; every 2-th ModelStates at 2000 Hz physics) -> gt_highrate.csv
[INFO] [1789728719.582655, 41.388000]: [event] proximity_detection id=5 verdict=true gt_gap=14.142m  at gt=(48.19, -1.01) s=14.9m
[INFO] [1789728722.787324, 42.435500]: [event] proximity_detection id=6 verdict=true gt_gap=14.143m  at gt=(48.65, -1.22) s=15.4m
[INFO] [1789728725.477201, 43.440500]: [event] proximity_detection id=7 verdict=true gt_gap=14.089m  at gt=(49.05, -1.43) s=15.9m
[INFO] [1789728728.408853, 44.431000]: [event] proximity_detection id=8 verdict=true gt_gap=14.038m  at gt=(49.45, -1.66) s=16.3m
[INFO] [1789728734.617133, 46.469500]: [event] proximity_detection id=10 verdict=true gt_gap=13.903m  at gt=(50.24, -2.17) s=17.3m
[INFO] [1789728737.726815, 47.410000]: [event] proximity_detection id=11 verdict=true gt_gap=13.793m  at gt=(50.58, -2.38) s=17.7m
[INFO] [1789728741.497379, 48.554500]: [event] proximity_detection id=12 verdict=true gt_gap=13.768m  at gt=(50.98, -2.72) s=18.2m
[INFO] [1789728744.267691, 49.562000]: [event] proximity_detection id=13 verdict=true gt_gap=13.745m  at gt=(51.36, -3.04) s=18.7m
[INFO] [1789728760.649412, 54.575500]: [event] proximity_detection id=18 verdict=true gt_gap=13.314m  at gt=(52.91, -4.68) s=21.0m
[INFO] [1789728829.991690, 73.737500]: [event] proximity_detection id=37 verdict=true gt_gap=13.039m  at gt=(55.42, -12.81) s=29.7m
[INFO] [1789728833.024743, 74.750000]: [event] proximity_detection id=38 verdict=true gt_gap=13.060m  at gt=(55.39, -13.29) s=30.1m
[INFO] [1789728836.289896, 75.709500]: [event] proximity_detection id=39 verdict=true gt_gap=13.102m  at gt=(55.36, -13.76) s=30.6m
[INFO] [1789728839.945923, 76.724000]: [event] proximity_detection id=40 verdict=true gt_gap=13.109m  at gt=(55.32, -14.25) s=31.1m
[INFO] [1789728843.658824, 77.822500]: [event] proximity_detection id=41 verdict=true gt_gap=13.267m  at gt=(55.28, -14.79) s=31.6m
[INFO] [1789728847.138094, 78.834000]: [event] proximity_detection id=42 verdict=true gt_gap=13.264m  at gt=(55.25, -15.28) s=32.1m
[INFO] [1789728850.224686, 79.853500]: [event] proximity_detection id=43 verdict=true gt_gap=13.311m  at gt=(55.21, -15.78) s=32.6m
[INFO] [1789728853.395680, 80.814500]: [event] proximity_detection id=44 verdict=true gt_gap=13.385m  at gt=(55.18, -16.25) s=33.1m
[INFO] [1789728856.925418, 81.832000]: [event] proximity_detection id=45 verdict=true gt_gap=13.526m  at gt=(55.15, -16.74) s=33.6m
[INFO] [1789728860.162466, 82.855500]: [event] proximity_detection id=46 verdict=true gt_gap=13.611m  at gt=(55.12, -17.24) s=34.1m
[INFO] [1789728863.340975, 83.865500]: [event] proximity_detection id=47 verdict=true gt_gap=13.673m  at gt=(55.09, -17.73) s=34.6m
[INFO] [1789728866.284249, 84.866000]: [event] proximity_detection id=48 verdict=true gt_gap=13.708m  at gt=(55.05, -18.22) s=35.1m
[INFO] [1789728869.356431, 85.832500]: [event] proximity_detection id=49 verdict=true gt_gap=13.781m  at gt=(55.02, -18.69) s=35.6m
[INFO] [1789728872.910686, 86.957500]: [event] proximity_detection id=50 verdict=true gt_gap=13.960m  at gt=(54.98, -19.25) s=36.1m
[INFO] [1789728875.587204, 87.976000]: [event] proximity_detection id=51 verdict=true gt_gap=14.051m  at gt=(54.94, -19.76) s=36.6m
[INFO] [1789728878.826496, 88.916000]: [event] proximity_detection id=52 verdict=true gt_gap=14.082m  at gt=(54.92, -20.23) s=37.1m
[INFO] [1789728882.436506, 89.915500]: [event] proximity_detection id=53 verdict=true gt_gap=14.135m  at gt=(54.88, -20.72) s=37.6m
[INFO] [1789728886.264764, 90.925000]: [event] proximity_detection id=54 verdict=true gt_gap=14.178m  at gt=(54.85, -21.21) s=38.1m
[INFO] [1789728889.461894, 91.965500]: [event] proximity_detection id=55 verdict=true gt_gap=14.256m  at gt=(54.82, -21.70) s=38.6m
[INFO] [1789728892.230686, 92.955500]: [event] proximity_detection id=56 verdict=true gt_gap=14.323m  at gt=(54.80, -22.15) s=39.0m
[INFO] [1789728894.975289, 93.981500]: [event] proximity_detection id=57 verdict=true gt_gap=14.360m  at gt=(54.80, -22.62) s=39.5m
[INFO] [1789728897.844326, 94.917500]: [event] proximity_detection id=58 verdict=true gt_gap=14.416m  at gt=(54.82, -23.07) s=40.0m
[INFO] [1789728901.413149, 95.934500]: [event] proximity_detection id=59 verdict=true gt_gap=14.439m  at gt=(54.84, -23.57) s=40.4m
[INFO] [1789728904.637957, 96.931000]: [event] proximity_detection id=60 verdict=true gt_gap=14.414m  at gt=(54.86, -24.04) s=40.9m
[INFO] [1789728907.989068, 97.975000]: [event] proximity_detection id=61 verdict=true gt_gap=14.468m  at gt=(54.87, -24.55) s=41.4m
[INFO] [1789728910.939279, 99.069000]: [event] proximity_detection id=62 verdict=true gt_gap=14.546m  at gt=(54.87, -25.10) s=42.0m
[INFO] [1789728913.778866, 100.188000]: [event] proximity_detection id=63 verdict=true gt_gap=14.616m  at gt=(54.88, -25.64) s=42.5m
[INFO] [1789728916.782156, 101.135500]: [event] proximity_detection id=64 verdict=true gt_gap=14.624m  at gt=(54.91, -26.07) s=43.0m
[INFO] [1789728919.947234, 102.147500]: [event] proximity_detection id=65 verdict=true gt_gap=14.688m  at gt=(54.91, -26.56) s=43.4m
[INFO] [1789728922.427919, 103.168000]: [event] proximity_detection id=66 verdict=true gt_gap=14.693m  at gt=(54.90, -27.00) s=43.9m
[INFO] [1789728925.995673, 104.096000]: [event] proximity_detection id=67 verdict=true gt_gap=14.633m  at gt=(54.93, -27.43) s=44.3m
[INFO] [1789728930.781427, 105.182500]: [event] proximity_detection id=68 verdict=true gt_gap=14.607m  at gt=(54.95, -27.89) s=44.8m
[INFO] [1789728934.767196, 106.093500]: [event] proximity_detection id=69 verdict=true gt_gap=14.551m  at gt=(54.93, -28.30) s=45.2m
[INFO] [1789728938.979912, 107.180500]: [event] proximity_detection id=70 verdict=true gt_gap=14.566m  at gt=(54.89, -28.81) s=45.7m
[INFO] [1789728941.493324, 108.180500]: [event] proximity_detection id=71 verdict=true gt_gap=14.502m  at gt=(54.83, -29.28) s=46.2m
[INFO] [1789728944.260343, 109.165000]: [event] proximity_detection id=72 verdict=true gt_gap=14.461m  at gt=(54.75, -29.73) s=46.6m
[INFO] [1789728946.943376, 110.154500]: [event] proximity_detection id=73 verdict=true gt_gap=14.389m  at gt=(54.67, -30.16) s=47.1m
[INFO] [1789728950.277452, 111.293500]: [event] proximity_detection id=74 verdict=true gt_gap=14.385m  at gt=(54.56, -30.62) s=47.6m
[INFO] [1789728952.749779, 112.275500]: [event] proximity_detection id=75 verdict=true gt_gap=14.254m  at gt=(54.46, -30.98) s=47.9m
[INFO] [1789728955.346909, 113.293000]: [event] proximity_detection id=76 verdict=true gt_gap=14.287m  at gt=(54.26, -31.50) s=48.5m
[INFO] [1789728957.909355, 114.264500]: [event] proximity_detection id=77 verdict=true gt_gap=14.263m  at gt=(54.09, -31.96) s=49.0m
[INFO] [1789728963.196888, 116.246500]: [event] proximity_detection id=79 verdict=true gt_gap=14.126m  at gt=(53.77, -32.76) s=49.9m
[INFO] [1789728966.559419, 117.237000]: [event] proximity_detection id=80 verdict=true gt_gap=13.967m  at gt=(53.58, -33.15) s=50.3m
[INFO] [1789728969.715465, 118.231000]: [event] proximity_detection id=81 verdict=true gt_gap=13.863m  at gt=(53.37, -33.54) s=50.7m
[INFO] [1789728973.166445, 119.217000]: [event] proximity_detection id=82 verdict=true gt_gap=13.808m  at gt=(53.14, -33.92) s=51.2m
[INFO] [1789728977.082494, 120.245500]: [event] proximity_detection id=83 verdict=true gt_gap=13.728m  at gt=(52.89, -34.30) s=51.6m
[INFO] [1789728980.121918, 121.280000]: [event] proximity_detection id=84 verdict=true gt_gap=13.637m  at gt=(52.65, -34.67) s=52.1m
[INFO] [1789728983.179667, 122.249000]: [event] proximity_detection id=85 verdict=true gt_gap=13.500m  at gt=(52.39, -34.98) s=52.5m
[INFO] [1789728987.045945, 123.230500]: [event] proximity_detection id=86 verdict=true gt_gap=13.462m  at gt=(52.10, -35.34) s=52.9m
[INFO] [1789729006.318708, 128.205000]: [event] proximity_detection id=91 verdict=true gt_gap=13.105m  at gt=(50.52, -36.91) s=55.2m
