[INFO] [1789722590.052868, 10.004500]: MetricsLogger: robot=tracked run=2
[INFO] [1789722590.053973, 10.004500]:   output    : /home/alessandro/metrics_VF/fixed_trajectory/swept_lidar/tracked/run02
[INFO] [1789722590.056468, 10.005500]:   odom      : /rtabmap/odom
[INFO] [1789722590.059106, 10.006000]:   cmd_vel   : /example_two_track/cmd_vel
[INFO] [1789722901.752765, 105.536500]: [event] proximity_detection id=68 verdict=true gt_gap=14.464m  at gt=(54.95, -27.89) s=44.8m
[INFO] [1789722905.934938, 106.446500]: [event] proximity_detection id=69 verdict=true gt_gap=14.396m  at gt=(54.93, -28.30) s=45.2m
[INFO] [1789722910.298257, 107.554500]: [event] proximity_detection id=70 verdict=true gt_gap=14.422m  at gt=(54.89, -28.82) s=45.7m
[INFO] [1789722912.889224, 108.552000]: [event] proximity_detection id=71 verdict=true gt_gap=14.417m  at gt=(54.84, -29.29) s=46.2m
[INFO] [1789722915.550520, 109.538500]: [event] proximity_detection id=72 verdict=true gt_gap=14.370m  at gt=(54.75, -29.73) s=46.7m
[INFO] [1789722918.205233, 110.528000]: [event] proximity_detection id=73 verdict=true gt_gap=14.305m  at gt=(54.66, -30.17) s=47.1m
[INFO] [1789722921.234422, 111.544000]: [event] proximity_detection id=74 verdict=true gt_gap=14.254m  at gt=(54.56, -30.58) s=47.5m
[INFO] [1789722923.754063, 112.549500]: [event] proximity_detection id=75 verdict=true gt_gap=14.124m  at gt=(54.47, -30.94) s=47.9m
[INFO] [1789722926.323371, 113.561500]: [event] proximity_detection id=76 verdict=true gt_gap=14.162m  at gt=(54.27, -31.46) s=48.5m
[INFO] [1789722929.000741, 114.568000]: [event] proximity_detection id=77 verdict=true gt_gap=14.172m  at gt=(54.10, -31.95) s=49.0m
[INFO] [1789722934.197471, 116.517000]: [event] proximity_detection id=79 verdict=true gt_gap=13.953m  at gt=(53.78, -32.73) s=49.8m
[INFO] [1789722937.522186, 117.499500]: [event] proximity_detection id=80 verdict=true gt_gap=13.829m  at gt=(53.60, -33.12) s=50.3m
